饰品名称,Buff当前价格,Buff当前在售数量
UMP-45（StatTrak™） | 塑胶炸弹 (崭新出厂),19.99,53
MP9（StatTrak™） | 铁血玫瑰 (略有磨损),58.75,152
MP9（StatTrak™） | 九头蛇 (略有磨损),65.3,118
MAC-10（StatTrak™） | 霓虹骑士 (略有磨损),97.3,98
MP7 | 七彩斑斓 (崭新出厂),13.68,92
MP7（StatTrak™） | 速递 (崭新出厂),57.05,21
MAC-10 | 烧尽 (崭新出厂),20.55,67
P90 | 巴洛克之红 (略有磨损),116,51
MAC-10 | 诅咒 (崭新出厂),22.16,53
PP-野牛（StatTrak™） | 路霸 (略有磨损),20.28,43
PP-野牛（StatTrak™） | 阿努比斯之审判 (略有磨损),100.5,64
PP-野牛（StatTrak™） | 买定离手 (崭新出厂),117.95,66
P90（StatTrak™） | 死亡之握 (略有磨损),64.78,17
P90 | 三角 (破损不堪),40.55,15
PP-野牛 | 水蓝条纹 (崭新出厂),26.74,43
MP7 | 逮捕者 (略有磨损),22.6,27
MAC-10 | 不可磨灭 (略有磨损),110,33
P90（StatTrak™） | 冷血无情 (崭新出厂),13.7,209
MP7 | 复仇者 (崭新出厂),40.57,128
MAC-10 | 渐变琥珀 (崭新出厂),46.9,45
MP9 | 九头蛇 (破损不堪),14.9,52
UMP-45 | 白骨之堆 (略有磨损),21.79,31
MP9（StatTrak™） | 红宝石毒镖 (略有磨损),15.97,146
MAC-10 | 诅咒 (久经沙场),19.39,16
UMP-45（StatTrak™） | 合金绽放 (久经沙场),12.1,30
MAC-10（StatTrak™） | 孔雀石 (崭新出厂),26.87,100
P90（StatTrak™） | 死亡之握 (战痕累累),46.64,70
MP7 | 复仇者 (略有磨损),26.8,154
UMP-45（StatTrak™） | 迷幻 (崭新出厂),15.9,25
PP-野牛（StatTrak™） | 买定离手 (破损不堪),18.68,47
PP-野牛（纪念品） | 黄铜 (战痕累累),13.4,23
MP7（StatTrak™） | 帝国 (略有磨损),22.6,35
P90（纪念品） | 辐射警告 (破损不堪),16.79,18
UMP-45（StatTrak™） | 动量 (战痕累累),29.4,20
MP7（StatTrak™） | 权力之心 (崭新出厂),25.4,58
MP5-SD（StatTrak™） | 鼻青脸肿 (崭新出厂),10.24,37
UMP-45（StatTrak™） | 白骨之堆 (久经沙场),24.76,27
MAC-10（StatTrak™） | 阿罗哈 (崭新出厂),25.78,28
PP-野牛（StatTrak™） | 路霸 (崭新出厂),46.9,20
P90 | 枯焦之色 (破损不堪),3.93,1
MP9（StatTrak™） | 红宝石毒镖 (破损不堪),13.9,11
MAC-10（StatTrak™） | 阿罗哈 (战痕累累),14.42,7
MP7 | 速递 (崭新出厂),14.26,62
PP-野牛（StatTrak™） | 死亡主宰者 (略有磨损),10.49,101
PP-野牛（StatTrak™） | 水纹之印 (战痕累累),18.7,5
MAC-10（StatTrak™） | 渐变迪斯科 (破损不堪),26.88,86
MAC-10 | 诅咒 (略有磨损),17.8,53
MAC-10 | 不可磨灭 (崭新出厂),187.5,12
P90（StatTrak™） | 盲点 (崭新出厂),59.2,71
PP-野牛（StatTrak™） | 核燃料棒 (略有磨损),19.27,77
UMP-45 | 动量 (破损不堪),15.1,42
P90 | 死亡之握 (战痕累累),19.3,169
P90（StatTrak™） | 精雕木刻 (崭新出厂),183.88,29
MAC-10（StatTrak™） | 炽热 (久经沙场),12.3,112
PP-野牛（StatTrak™） | 阿努比斯之审判 (久经沙场),49.9,60
MAC-10（纪念品） | 红苹果 (崭新出厂),40.73,269
MAC-10 | 烧尽 (久经沙场),16.9,19
MP7 | 血腥运动 (破损不堪),13.39,34
P90（StatTrak™） | 精雕木刻 (略有磨损),58.4,48
MP5-SD（StatTrak™） | 磷光体 (战痕累累),28.43,21
MAC-10（StatTrak™） | 潜行者 (破损不堪),136.38,11
P90（StatTrak™） | 浅坟 (崭新出厂),86.9,49
PP-野牛（StatTrak™） | 水蓝条纹 (略有磨损),21.3,35
P90 | 死亡之握 (略有磨损),25.46,61
PP-野牛 | 阿努比斯之审判 (战痕累累),18.78,24
UMP-45 | 白骨之堆 (崭新出厂),64.43,22
MP5-SD | 氮化处理 (崭新出厂),20.7,34
P90 | 冰川网格 (久经沙场),11.78,15
P90 | 死亡之握 (破损不堪),15.58,24
MP7（StatTrak™） | 复仇者 (略有磨损),53.69,69
UMP-45 | 犯罪现场 (破损不堪),138.7,13
P90（StatTrak™） | 二西莫夫 (久经沙场),107,145
MP7（StatTrak™） | 复仇者 (崭新出厂),147.3,56
P90（StatTrak™） | 夺命器 (崭新出厂),26.4,143
MAC-10（StatTrak™） | 烧尽 (久经沙场),40.14,14
MAC-10（StatTrak™） | 诅咒 (崭新出厂),51.79,29
PP-野牛 | 森林之叶 (略有磨损),10.69,13
UMP-45 | 忘忧草 (略有磨损),209.5,34
MP5-SD | 磷光体 (破损不堪),14.8,53
P90（纪念品） | 辐射警告 (战痕累累),16.67,33
MP7（StatTrak™） | 海之泡沫 (崭新出厂),31.7,113
MP9（StatTrak™） | 爆裂食物链 (战痕累累),29.1,47
MP9（纪念品） | 暴风呼啸 (崭新出厂),27.8,69
PP-野牛（纪念品） | 黄铜 (略有磨损),31.68,62
MAC-10（纪念品） | 渐变琥珀 (略有磨损),49.7,128
UMP-45（纪念品） | 紫青之色 (崭新出厂),61.9,33
MAC-10（StatTrak™） | 阿罗哈 (久经沙场),13.88,25
MAC-10（StatTrak™） | 渐变迪斯科 (战痕累累),23.89,57
MP9 | 九头蛇 (战痕累累),13.79,54
MP5-SD（纪念品） | 越野 (崭新出厂),16.98,39
P90 | 棕色皮革 (崭新出厂),46.49,37
MAC-10（纪念品） | 渐变琥珀 (崭新出厂),92.9,144
