饰品名称,Buff当前价格,Buff当前在售数量
R8 左轮手枪 | 重新启动 (崭新出厂),11.9,264
格洛克 18 型 | 黄铜 (久经沙场),26.3,119
沙漠之鹰（StatTrak™） | 纳迦蛇神 (崭新出厂),98.9,59
CZ75 | 黄夹克 (久经沙场),16.29,192
CZ75 | 黄夹克 (崭新出厂),49.79,101
USP 消音版 | 宝蓝之色 (略有磨损),54.8,552
USP 消音版 | 倒吊人 (久经沙场),194.5,270
格洛克 18 型 | 核子反应 (久经沙场),12.76,259
格洛克 18 型（StatTrak™） | 蓝色裂纹 (略有磨损),30.7,296
P2000 | 渐变琥珀 (略有磨损),38.61,546
沙漠之鹰 | 午夜凶匪 (略有磨损),64.8,591
沙漠之鹰 | 大佬龙 (战痕累累),40.1,219
Tec-9（纪念品） | 核子剧毒 (战痕累累),25.7,52
沙漠之鹰（纪念品） | 都市 DDPAT (久经沙场),13.8,1380
USP 消音版（StatTrak™） | 守护者 (久经沙场),16.65,383
USP 消音版 | 猎户 (崭新出厂),142,1078
USP 消音版 | 猎户 (略有磨损),113,565
格洛克 18 型 | 子弹皇后 (战痕累累),34.9,211
CZ75 | 相柳 (崭新出厂),36.7,280
FN57 | 童话城堡 (破损不堪),12.11,128
格洛克 18 型（StatTrak™） | 水灵 (崭新出厂),178.49,313
R8 左轮手枪 | 渐变之色 (久经沙场),21.68,280
沙漠之鹰（StatTrak™） | 青铜装饰 (崭新出厂),10.4,853
Tec-9 | 燃料喷射器 (崭新出厂),34.9,266
P250（StatTrak™） | 炼狱小镇 (崭新出厂),17.34,79
USP 消音版（StatTrak™） | 力矩 (崭新出厂),23.78,693
USP 消音版 | 小绿怪 (崭新出厂),60.9,996
双持贝瑞塔 | 翡翠色调 (崭新出厂),120.5,441
格洛克 18 型（StatTrak™） | 荒野反叛 (久经沙场),77.97,119
双持贝瑞塔 | 爆破能手 (久经沙场),15.19,47
CZ75 | 燕尾 (崭新出厂),10.19,513
沙漠之鹰 | 机械工业 (破损不堪),20.2,68
USP 消音版（StatTrak™） | 脑洞大开 (久经沙场),33,702
USP 消音版 | 蓝图 (略有磨损),36.5,1385
沙漠之鹰（StatTrak™） | 科林斯遗产 (久经沙场),9.9,334
双持贝瑞塔（StatTrak™） | 海斗士 (略有磨损),43.8,54
沙漠之鹰 | 深红之网 (略有磨损),93.8,938
沙漠之鹰（纪念品） | 都市 DDPAT (略有磨损),27.9,605
CZ75 | 相柳 (久经沙场),21.4,184
Tec-9 | 燃料喷射器 (略有磨损),13.5,704
USP 消音版（StatTrak™） | 铅管 (久经沙场),10.45,188
沙漠之鹰 | 午夜凶匪 (战痕累累),64.9,38
USP 消音版（StatTrak™） | 小绿怪 (崭新出厂),209.5,248
P250（纪念品） | 硝烟 (略有磨损),23.2,211
沙漠之鹰（StatTrak™） | 轻轨 (崭新出厂),63.8,194
沙漠之鹰（StatTrak™） | 机械工业 (崭新出厂),103,723
沙漠之鹰 | 机械工业 (战痕累累),14.29,110
USP 消音版（StatTrak™） | 次时代 (崭新出厂),59.9,465
USP 消音版（纪念品） | 引擎故障灯 (久经沙场),38.4,271
格洛克 18 型 | 黑色魅影 (破损不堪),33.3,307
格洛克 18 型（纪念品） | 核子反应 (破损不堪),47.65,152
沙漠之鹰（StatTrak™） | 阴谋者 (久经沙场),58.45,86
沙漠之鹰 | 黄金锦鲤 (略有磨损),195.5,20
沙漠之鹰（StatTrak™） | 深红之网 (久经沙场),67.79,296
USP 消音版 | 公路杀手 (破损不堪),98.16,48
R8 左轮手枪 | 美洲驼炮 (崭新出厂),35.9,87
USP 消音版 | 守护者 (略有磨损),11.2,881
CZ75（StatTrak™） | 经济 (略有磨损),10.65,254
P2000（StatTrak™） | 火灵 (久经沙场),126.16,39
Tec-9 | 上古图腾 (略有磨损),66.9,91
P250 | 暗之镂刻 (久经沙场),19.67,70
沙漠之鹰（StatTrak™） | 后发制人 (崭新出厂),189.5,79
P250 | 暗之镂刻 (久经沙场),19.67,70
沙漠之鹰（StatTrak™） | 后发制人 (崭新出厂),189.5,79
USP 消音版（StatTrak™） | 守护者 (略有磨损),31.49,485
格洛克 18 型（纪念品） | 地下水 (略有磨损),29.3,219
FN57（StatTrak™） | 童话城堡 (久经沙场),30.9,236
Tec-9 | 屠杀者 (战痕累累),21.27,35
USP 消音版（StatTrak™） | 不锈钢 (久经沙场),59.59,902
P2000 | 火灵 (久经沙场),28.9,194
沙漠之鹰 | 钴蓝禁锢 (略有磨损),178.5,362
P250 | 生化短吻鳄 (战痕累累),13.9,132
沙漠之鹰 | 午夜凶匪 (久经沙场),63.3,226
FN57（StatTrak™） | 耍猴把戏 (破损不堪),16.79,48
USP 消音版（纪念品） | 引擎故障灯 (略有磨损),82.78,152
USP 消音版 | 血虎 (崭新出厂),14.45,189
Tec-9（StatTrak™） | 坍雪寒裘 (略有磨损),19.89,114
R8 左轮手枪（StatTrak™） | 重新启动 (略有磨损),14.3,281
Tec-9 | 屠杀者 (崭新出厂),101,110
P250（StatTrak™） | 生化短吻鳄 (久经沙场),44.6,247
Tec-9 | 上古图腾 (崭新出厂),68.8,167
P250（StatTrak™） | 翼击 (久经沙场),12.91,172
P250（StatTrak™） | 翼击 (久经沙场),12.91,172
Tec-9（纪念品） | 核子剧毒 (略有磨损),59.7,187
USP 消音版 | 商业皮革 (崭新出厂),188.49,45
格洛克 18 型（StatTrak™） | 子弹皇后 (久经沙场),199.5,151
USP 消音版 | 枪响人亡 (破损不堪),199,226
USP 消音版 | 凯门鳄 (略有磨损),111.48,92
P250 | 卡特尔 (久经沙场),15.69,90
P2000 | 火灵 (略有磨损),35.15,175
格洛克 18 型 | 核子花园 (久经沙场),17.1,583
沙漠之鹰 | 噩梦之夜 (略有磨损),17.68,649
格洛克 18 型（StatTrak™） | 摩登时代 (久经沙场),43.13,282
USP 消音版（StatTrak™） | 小绿怪 (战痕累累),27.49,53
FN57（StatTrak™） | 童话城堡 (破损不堪),29.7,44
USP 消音版（StatTrak™） | 脑洞大开 (战痕累累),27.9,179
USP 消音版 | 绿色伞兵 (崭新出厂),35.9,169
沙漠之鹰（StatTrak™） | 红色代号 (战痕累累),205.5,44
FN57（StatTrak™） | 朝枪夕拾 (略有磨损),18.69,114
格洛克 18 型 | 黑色魅影 (战痕累累),28.78,282
USP 消音版（StatTrak™） | 次时代 (略有磨损),30.7,415
FN57（StatTrak™） | 怒氓 (略有磨损),65.7,98
FN57（StatTrak™） | 怒氓 (略有磨损),65.7,98
P250（StatTrak™） | 影魔 (崭新出厂),14.4,325
双持贝瑞塔（StatTrak™） | 黑豹 (崭新出厂),18.05,47
双持贝瑞塔 | 蔷薇 (略有磨损),10.89,57
FN57 | 怒氓 (崭新出厂),40.4,292
双持贝瑞塔 | 双涡轮 (略有磨损),39.18,165
格洛克 18 型（StatTrak™） | 皇家军团 (略有磨损),28.9,165
FN57 | 狩猎利器 (略有磨损),12.1,130
Tec-9（StatTrak™） | 坍雪寒裘 (久经沙场),10.36,109
沙漠之鹰（StatTrak™） | 科林斯遗产 (崭新出厂),19.48,380
USP 消音版 | 商业皮革 (略有磨损),108.01,51
格洛克 18 型（StatTrak™） | 粉碎者 (崭新出厂),34.45,315
P2000 | 手炮 (崭新出厂),10.4,125
P2000（纪念品） | 渐变琥珀 (崭新出厂),98.79,75
P250（StatTrak™） | 红巢 (崭新出厂),32.73,121
格洛克 18 型（StatTrak™） | 粉碎者 (略有磨损),20.4,328
FN57（StatTrak™） | 三位一体 (久经沙场),14.24,35
双持贝瑞塔（StatTrak™） | 左右开花 (崭新出厂),19.6,34
双持贝瑞塔 | 双涡轮 (破损不堪),15.2,29
格洛克 18 型（StatTrak™） | 粉碎者 (久经沙场),21.72,56
P250 | 二西莫夫 (略有磨损),84.8,206
P250 | 生化短吻鳄 (崭新出厂),44.3,526
Tec-9 | 钛片 (崭新出厂),30.88,101
USP 消音版 | 商业皮革 (久经沙场),78.7,7
USP 消音版 | 绿色伞兵 (略有磨损),13.13,158
USP 消音版 | 寻路者 (久经沙场),58.8,35
USP 消音版（StatTrak™） | 次时代 (久经沙场),18.58,391
沙漠之鹰 | 遗产 (崭新出厂),47.5,125
P2000 | 致命红蝎 (崭新出厂),13.5,233
CZ75（StatTrak™） | 相柳 (久经沙场),53.26,51
沙漠之鹰 | 阴谋者 (久经沙场),17.12,264
CZ75 | 毒镖 (崭新出厂),13.57,33
USP 消音版 | 不锈钢 (战痕累累),12.89,137
FN57（StatTrak™） | 铜色星系 (崭新出厂),58.28,89
Tec-9（StatTrak™） | 屠杀者 (久经沙场),68.89,62
P250 | 翼击 (崭新出厂),16.46,175
Tec-9 | 坍雪寒裘 (崭新出厂),12.7,254
P2000（StatTrak™） | 至尊威龙 (略有磨损),36.9,90
格洛克 18 型 | 黄铜 (战痕累累),25.1,14
沙漠之鹰（StatTrak™） | 纳迦蛇神 (略有磨损),29.2,205
格洛克 18 型 | 黄铜 (战痕累累),25.1,14
沙漠之鹰（StatTrak™） | 纳迦蛇神 (略有磨损),29.2,205
FN57 | 表面淬火 (略有磨损),38.9,699
格洛克 18 型（纪念品） | 远光灯 (略有磨损),49.79,75
P250 | 曼海蒂 (战痕累累),48.1,22
P250 | 葡萄酒 (略有磨损),37.04,122
FN57（StatTrak™） | 好兄弟 (崭新出厂),18.01,84
P250（StatTrak™） | 二西莫夫 (久经沙场),57.6,300
P2000 | 林间猎者 (战痕累累),15.73,7
P250 | 银装素裹 (破损不堪),20.7,9
格洛克 18 型 | 摩登时代 (破损不堪),22.8,70
格洛克 18 型（StatTrak™） | 钢铁禁锢 (崭新出厂),27.8,140
格洛克 18 型 | 黄铜 (略有磨损),53.7,104
P250（StatTrak™） | 死亡轮回 (略有磨损),55.9,102
格洛克 18 型（StatTrak™） | 子弹皇后 (战痕累累),103.49,59
格洛克 18 型（纪念品） | 地下水 (破损不堪),12.9,90
格洛克 18 型（StatTrak™） | 战鹰 (崭新出厂),19.39,65
双持贝瑞塔（StatTrak™） | 龙之双子 (崭新出厂),27.9,34
格洛克 18 型 | 核子反应 (破损不堪),13.89,52
FN57（StatTrak™） | 怒氓 (战痕累累),30.15,27
FN57（StatTrak™） | 怒氓 (战痕累累),30.15,27
P250（StatTrak™） | 伦琴射线 (崭新出厂),18.22,147
P2000 | 渐变琥珀 (久经沙场),22.79,215
格洛克 18 型（StatTrak™） | 幻影冥魂 (崭新出厂),16.46,135
P2000（StatTrak™） | 红色碎片迷彩 (崭新出厂),11.64,53
P250（StatTrak™） | 红巢 (略有磨损),15.65,106
USP 消音版（StatTrak™） | 血虎 (崭新出厂),37.6,140
格洛克 18 型（纪念品） | 核子反应 (略有磨损),119.5,263
P250 | 日式深红涂装 (略有磨损),58.88,116
CZ75（StatTrak™） | 短趾雕 (崭新出厂),18.5,37
双持贝瑞塔 | 熊熊烈焰 (久经沙场),51.9,145
Tec-9 | 遥控 (略有磨损),15.56,102
Tec-9（StatTrak™） | 燃料喷射器 (略有磨损),37.9,150
双持贝瑞塔（StatTrak™） | 黑榄仁木 (久经沙场),28.9,31
P2000（StatTrak™） | 至尊威龙 (久经沙场),15.18,157
P2000 | 绝命密电 (略有磨损),26.49,192
CZ75（StatTrak™） | 战术高手 (崭新出厂),15.4,308
FN57（StatTrak™） | 耍猴把戏 (久经沙场),19.7,324
P250（StatTrak™） | 生化短吻鳄 (崭新出厂),208.5,122
R8 左轮手枪 | 深红之网 (崭新出厂),13,139
FN57（纪念品） | 橘皮涂装 (略有磨损),10.9,120
双持贝瑞塔（纪念品） | 深蓝电镀处理 (崭新出厂),16.3,157
USP 消音版 | 疯狂蔓延 (战痕累累),122.12,11
Tec-9（StatTrak™） | 剪纸 (破损不堪),11.78,8
FN57（StatTrak™） | 表面淬火 (战痕累累),47.9,45
P250（纪念品） | 沙丘之黄 (崭新出厂),98.89,11
P2000 | 草原落叶 (久经沙场),24.18,36
FN57 | 暴怒野兽 (破损不堪),63.87,25
FN57（StatTrak™） | 怒氓 (久经沙场),32.68,109
沙漠之鹰（StatTrak™） | 大佬龙 (破损不堪),199,11
P2000（StatTrak™） | 至尊威龙 (崭新出厂),85.8,65
沙漠之鹰（StatTrak™） | 纳迦蛇神 (久经沙场),17.1,253
Tec-9 | 上古图腾 (久经沙场),66.8,59
