饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
AK-47 | 至高皮革 (久经沙场),$43.82 USD,13
P2000 | 工业牧草 (破损不堪),$0.73 USD,34
双持贝瑞塔 | 蔷薇 (久经沙场),$1.75 USD,80
格洛克 18 型 | 噩梦之夜 (略有磨损),$1.22 USD,392
MAC-10 | 通勤者皮革 (破损不堪),$4.17 USD,30
P2000 | 坚固链甲 (崭新出厂),$106.73 USD,36
USP 消音版 | 商业皮革 (破损不堪),$15.06 USD,13
AWP | 粉红 DDPAT (久经沙场),$19.00 USD,63
P2000 | 工业牧草 (久经沙场),$0.60 USD,126
G3SG1 | 雇佣兵 (略有磨损),$1.51 USD,38
MAG-7 | 暴风呼啸 (破损不堪),$1.39 USD,130
SCAR-20 | 暴风呼啸 (破损不堪),$1.70 USD,43
P90 | 棕色皮革 (破损不堪),$3.77 USD,41
P90 | 棕色皮革 (战痕累累),$3.60 USD,44
M4A1 消音型 | 神来之作 (略有磨损),$52.45 USD,17
MP9 | 黑暗时代 (崭新出厂),$100.54 USD,48
MAC-10 | 通勤者皮革 (久经沙场),$4.27 USD,17
P2000 | 工业牧草 (略有磨损),$1.15 USD,32
P90 | 棕色皮革 (久经沙场),$4.23 USD,39
USP 消音版 | 商业皮革 (战痕累累),$13.68 USD,13
XM1014 | 红色皮革 (崭新出厂),$27.33 USD,15
AK-47 | 至高皮革 (破损不堪),$37.79 USD,11
沙漠之鹰 | 都市 DDPAT (略有磨损),$1.86 USD,201
MP7 | 硝烟 (略有磨损),$1.01 USD,73
FN57（StatTrak™） | 狩猎利器 (崭新出厂),$20.66 USD,13
蝴蝶刀（★） | 深红之网 (破损不堪),$789.88 USD,10
蝴蝶刀（★） | 表面淬火 (久经沙场),$655.96 USD,23
蝴蝶刀（★ StatTrak™） | 北方森林 (略有磨损),$955.39 USD,1
蝴蝶刀（★ StatTrak™） | 表面淬火 (久经沙场),$823.05 USD,2
沙漠之鹰 | 飞行员 (崭新出厂),$160.95 USD,8
蝴蝶刀（★） | 蓝钢 (战痕累累),$752.83 USD,8
蝴蝶刀（★） | 人工染色 (略有磨损),$538.17 USD,11
蝴蝶刀（★） | 人工染色 (破损不堪),$485.00 USD,6
蝴蝶刀（★）,"$1,350.00 USD",16
格洛克 18 型（StatTrak™） | 水灵 (战痕累累),$8.77 USD,58
沙漠之鹰（StatTrak™） | 阴谋者 (久经沙场),$11.55 USD,61
P90（StatTrak™） | 二西莫夫 (破损不堪),$16.35 USD,23
USP 消音版 | 公路杀手 (崭新出厂),$54.35 USD,13
格洛克 18 型 | 噩梦之夜 (崭新出厂),$27.85 USD,7
蝴蝶刀（★） | 都市伪装 (久经沙场),$379.00 USD,20
内格夫 | *哒哒哒* (久经沙场),$0.84 USD,145
PP-野牛 | 水蓝条纹 (略有磨损),$1.88 USD,63
P90 | 二西莫夫 (崭新出厂),$39.28 USD,31
FN57（StatTrak™） | 狩猎利器 (略有磨损),$7.26 USD,28
USP 消音版 | 血虎 (略有磨损),$1.26 USD,363
MAC-10（StatTrak™） | 致命紫罗兰 (久经沙场),$1.33 USD,111
XM1014 | 血红巨蟒 (久经沙场),$0.70 USD,192
MAC-10 | 致命紫罗兰 (战痕累累),$0.72 USD,89
USP 消音版（StatTrak™） | 血虎 (崭新出厂),$7.78 USD,139
CZ75 | 蓝巢 (略有磨损),$1.29 USD,138
内格夫 | *哒哒哒* (战痕累累),$0.75 USD,142
SSG 08（StatTrak™） | 无尽深海 (崭新出厂),$8.92 USD,94
蝴蝶刀（★） | 北方森林 (久经沙场),$437.41 USD,12
内格夫（StatTrak™） | 沙漠精英 (崭新出厂),$0.93 USD,192
PP-野牛（StatTrak™） | 死亡主宰者 (略有磨损),$2.25 USD,169
P250（StatTrak™） | 超新星 (崭新出厂),$3.40 USD,164
PP-野牛（StatTrak™） | 死亡主宰者 (崭新出厂),$3.52 USD,144
PP-野牛（StatTrak™） | 死亡主宰者 (战痕累累),$1.12 USD,25
沙漠之鹰（StatTrak™） | 阴谋者 (略有磨损),$16.56 USD,129
